!date time	sPPOMW_konc_mg_l	sPDOMW_konc_mg_l	sPO4W_konc_mg_l	sNPOMW_konc_mg_l	sNDOMW_konc_mg_l	sNO3W_konc_mg_l	sNH4W_konc_mg_l
1990-01-01 00:00:00	0.0252	0.0	0.0777	0.6983	0.0	6.4634	0.5975
1990-01-31 00:00:00	0.0252	0.0	0.0777	0.6983	0.0	6.4634	0.5975
1990-02-01 00:00:00	0.027	0.0	0.0833	1.0219	0.0	9.4579	0.8743
1990-02-28 00:00:00	0.027	0.0	0.0833	1.0219	0.0	9.4579	0.8743
1990-03-01 00:00:00	0.0245	0.0	0.0755	0.6256	0.0	5.7899	0.5352
1990-03-31 00:00:00	0.0245	0.0	0.0755	0.6256	0.0	5.7899	0.5352
1990-04-01 00:00:00	0.0207	0.0	0.0638	0.1528	0.0	1.414	0.1307
1990-04-30 00:00:00	0.0207	0.0	0.0638	0.1528	0.0	1.414	0.1307
1990-05-01 00:00:00	0.0207	0.0	0.0637	0.0739	0.0	0.6837	0.0632
1990-05-31 00:00:00	0.0207	0.0	0.0637	0.0739	0.0	0.6837	0.0632
1990-06-01 00:00:00	0.0208	0.0	0.0642	0.0696	0.0	0.6444	0.0596
1990-06-30 00:00:00	0.0208	0.0	0.0642	0.0696	0.0	0.6444	0.0596
1990-07-01 00:00:00	0.0279	0.0	0.0861	0.0674	0.0	0.6239	0.0577
1990-07-31 00:00:00	0.0279	0.0	0.0861	0.0674	0.0	0.6239	0.0577
1990-08-01 00:00:00	0.0285	0.0	0.0878	0.1035	0.0	0.9584	0.0886
1990-08-31 00:00:00	0.0285	0.0	0.0878	0.1035	0.0	0.9584	0.0886
1990-09-01 00:00:00	0.0231	0.0	0.0711	0.2768	0.0	2.5623	0.2369
1990-09-30 00:00:00	0.0231	0.0	0.0711	0.2768	0.0	2.5623	0.2369
1990-10-01 00:00:00	0.0229	0.0	0.0704	0.5649	0.0	5.2285	0.4833
1990-10-31 00:00:00	0.0229	0.0	0.0704	0.5649	0.0	5.2285	0.4833
1990-11-01 00:00:00	0.0228	0.0	0.0702	0.639	0.0	5.9145	0.5467
1990-11-30 00:00:00	0.0228	0.0	0.0702	0.639	0.0	5.9145	0.5467
1990-12-01 00:00:00	0.0248	0.0	0.0763	0.5648	0.0	5.2272	0.4832
1990-12-31 00:00:00	0.0248	0.0	0.0763	0.5648	0.0	5.2272	0.4832
1991-01-01 00:00:00	0.0328	0.0	0.1011	0.8588	0.0	7.9487	0.7348
1991-01-31 00:00:00	0.0328	0.0	0.1011	0.8588	0.0	7.9487	0.7348
1991-02-01 00:00:00	0.0231	0.0	0.0713	0.4758	0.0	4.4039	0.4071
1991-02-28 00:00:00	0.0231	0.0	0.0713	0.4758	0.0	4.4039	0.4071
1991-03-01 00:00:00	0.0242	0.0	0.0745	0.4617	0.0	4.2732	0.395
1991-03-31 00:00:00	0.0242	0.0	0.0745	0.4617	0.0	4.2732	0.395
1991-04-01 00:00:00	0.0222	0.0	0.0685	0.2206	0.0	2.042	0.1888
1991-04-30 00:00:00	0.0222	0.0	0.0685	0.2206	0.0	2.042	0.1888
1991-05-01 00:00:00	0.0244	0.0	0.0753	0.3173	0.0	2.9371	0.2715
1991-05-31 00:00:00	0.0244	0.0	0.0753	0.3173	0.0	2.9371	0.2715
1991-06-01 00:00:00	0.0258	0.0	0.0796	0.1193	0.0	1.1043	0.1021
1991-06-30 00:00:00	0.0258	0.0	0.0796	0.1193	0.0	1.1043	0.1021
1991-07-01 00:00:00	0.0291	0.0	0.0895	0.0888	0.0	0.8219	0.076
1991-07-31 00:00:00	0.0291	0.0	0.0895	0.0888	0.0	0.8219	0.076
1991-08-01 00:00:00	0.0372	0.0	0.1146	0.1056	0.0	0.9778	0.0904
1991-08-31 00:00:00	0.0372	0.0	0.1146	0.1056	0.0	0.9778	0.0904
1991-09-01 00:00:00	0.0317	0.0	0.0975	0.1213	0.0	1.1224	0.1037
1991-09-30 00:00:00	0.0317	0.0	0.0975	0.1213	0.0	1.1224	0.1037
1991-10-01 00:00:00	0.0246	0.0	0.0757	0.1187	0.0	1.0985	0.1015
1991-10-31 00:00:00	0.0246	0.0	0.0757	0.1187	0.0	1.0985	0.1015
1991-11-01 00:00:00	0.0236	0.0	0.0728	0.2566	0.0	2.375	0.2195
1991-11-30 00:00:00	0.0236	0.0	0.0728	0.2566	0.0	2.375	0.2195
1991-12-01 00:00:00	0.0195	0.0	0.06	0.3222	0.0	2.9821	0.2757
1991-12-31 00:00:00	0.0195	0.0	0.06	0.3222	0.0	2.9821	0.2757
1992-01-01 00:00:00	0.0164	0.0	0.0507	0.574	0.0	5.3128	0.4911
1992-01-31 00:00:00	0.0164	0.0	0.0507	0.574	0.0	5.3128	0.4911
1992-02-01 00:00:00	0.0166	0.0	0.0513	0.5734	0.0	5.3068	0.4905
1992-02-29 00:00:00	0.0166	0.0	0.0513	0.5734	0.0	5.3068	0.4905
1992-03-01 00:00:00	0.0193	0.0	0.0594	0.7376	0.0	6.8272	0.6311
